ср000004858
ср000005004
ср000005971
ср000004670
ср000005970
ср000005002
ср000005975
ср000004669
ср000005974
ср000005008
ср000005979
ср000004671
ср000005978
ср000004721
ср000005285
ср000005300
ср000005283
ср000005304
ср000005322
ср000005305
ср000004929
ср000004698
ср000004613
ср000005014
ср000006012
ср000006127
ср000005281
ср000004611
ср000004654
ср000005998
ср000005702
ср000004391
ср000004875
ср000005429
ср000005798
ср000004517
ср000006000
ср000005067
ср000004754
ср000005427
ср000006010
ср000005426
ср000006008
ср000005319
ср000005319
ср000005319
ср000004821
ср000004360
ср000004927
ср000004739
ср000005956
ср000005525
ср000004722
ср000006142
ср000004723
ср000006123
ср000004952
ср000004248
ср000004174
ср000004980
ср000005955
ср000004664
ср000005946
ср000004836
ср000005235
ср000005239
ср000004565
ср000004564
ср000005707
ср000005346
ср000006007
ср000004706
ср000005992
ср000005423
ср000005988
ср000005311
ср000005985
ср000004096
ср000006014
ср000004906
ср000006013
ср000005778
ср000005420
ср000004605
ср000005990
ср000004614
ср000004912
ср000005989
ср000004550
лб003231
ср000004606
ср000005986
ср000004571
ср000005984
ср000003941
ср000005428
ср000005301
ср000005995
ср000005302
ср000005994
ср000004833
ср000004831
ср000004832
ср000004834
ср000005074
ср000004835
ср000005461
ср000005006
ср000005973
ср000005001
ср000005977
ср000005009
ср000005981
ср000005306
ср000005308
ср000005307
ср000005303
ср000005321
ср000004859
ср000004659
ср000005309
ср000004612
ср000004610
ср000005997
ср000004389
ср000004882
ср000005705
ср000006001
ср000004856
ср000006011
ср000004908
ср000006009
ср000004359
ср000004359
ср000004359
ср000004907
ср000004737
ср000004931
ср000004979
ср000005965
ср000005524
ср000006091
ср000006143
ср000005171
ср000004387
ср000004388
ср000004378
ср000005964
ср000005003
ср000005983
ср000004973
ср000005062
ср000005230
ср000004570
ср000004394
ср000005295
ср000006005
ср000005312
ср000005993
ср000004008
ср000006015
ср000004563
ср000005991
ср000004556
ср000005987
ср000004558
ср000005947
ср000004929
ср000005297
ср000005949
ср000005296
ср000005996
ср000004967
ср000004969
ср000004968
ср000004970
ср000005048
ср000004972
ср000005005
ср000005972
ср000004974
ср000005976
ср000005007
ср000005980
ср000005286
ср000005298
ср000005284
ср000004854
ср000005282
ср000004598
ср000004380
ср000005999
ср000004608
ср000005429
ср000005706
ср000004448


ср000004934
ср000005320
ср000004933
ср000004379
ср000005967
ср000006124
ср000004377
ср000004376
ср000004738
ср000005966
ср000005063
ср000005231
ср000004701
ср000004393
ср000004390
ср000004166


ср000005430
ср000004385
ср000005110
ср000005948
ср000004884
ср000003927
ср000004468
ср000003928
ср000004469
ср000003929
ср000004383
ср000004386
ср000005516
ср000005042
